Operator;OperatorString;Usage;Description;Vectorised;MandatoryArguments;DefaultArguments
+;\+;a+b;Addition;T;;
*;\*;a*b;Multiplication;T;;
-;-;A-b;Subtraction;T;;
/;/;a/b;Division;T;;
^;\^;a^b;Power / exponent;T;;
";";";";;For use within other functions;T;;
ifelse;ifelse;"ifelse(a>b, 1, 0)";"ifelse(condition, if true, if false)";T;;
==;==;a == b;Equality comparison. Returns 1/0 for true/false which means 5 + (1==1) will return 6.;T;;
>;>;a>b;Greater than;T;;
<;<;a<b;Less than;T;;
>=;>=;a>=b;Greater than equal to;T;;
<=;<=;a<=b;Less than equal to;T;;
abs;abs;"abs(a)";"modulus / absolute value";T;;
log;log;"log(a)";"Default base is e. To change base to b; do log(a;b).";T;;
sum;sum;"sum(a)";"Sums over ALL iterations, not just one iteration";T;;
(;\(;;For use within other functions or BODMAS;T;;
);\);;For use within other functions or BODMAS;T;;
sinradian;sinradian;sinradian(3.14);Trigonometric sin in radians;T;;
cosradian;cosradian;cosradian(3.14);Trigonometric cos in radians;T;;
tanradian;tanradian;tanradian(3.14);Trigonometric tan in radians;T;;
asinradian;asinradian;asinradian(1);Trigonometric sin inverse in radians;T;;
acosradian;acosradian;acosradian(1);Trigonometric cos inverse in radians;T;;
atanradian;atanradian;atanradian(1);Trigonometric tan inverse in radians;T;;
rnorm;rnorm;rnorm(mean, sd);;F;mean,sd;n=iIterations
min;min;min(variable1);"Gives min over ALL iteration, not just that one iteration";T;;
max;max;max(variable1);"Gives max over ALL iteration, not just that one iteration";T;;
